BRAND,DNLA,SKU_NO,OVERVIEW,OVERVIEW2,OVERVIEW_RAW,OVERVIEW2_RAW,OVERVIEW_NOTE
Axler,N,6345,"The Axler Robin 20 Stabilizer S lets you capture smooth, free-floating handheld shots with camcorders and camera rigs weighing up to 7 pounds. The system employs a height-adjustable gimbal and three-stage center column which collapses to a compact, travel-ready size for convenient transport. The center column also makes it easy to balance heavier loads without increasing the weight of the stabilizer, letting you shoot for longer periods of time with less arm fatigue. Four counterweights are included, which fit onto two posts at the base of the stabilizer. 
The camera platform features a quick release plate for easy camera attachment, and allows for front-to-back and side-to-side adjustments for quick balancing. Once balanced, the stabilizer isolates the camera from your body movements, letting you walk or even climb stairs, all while capturing smooth, elegant-looking footage. The weight plate is outfitted with four rubber feet that can be rotated to reveal metal spikes. When you need to set the unit down, the feet offer a stable base for the stabilizer to stand upright on nearly any terrain.

A durable nylon carry case is included for easy storage and transport of the stabilizer and counterweights.",,"The <b>Axler Robin 20 Stabilizer S</b> lets you capture smooth, free-floating handheld shots with camcorders and camera rigs weighing up to 7 pounds. The system employs a height-adjustable gimbal and three-stage center column which collapses to a compact, travel-ready size for convenient transport. The center column also makes it easy to balance heavier loads without increasing the weight of the stabilizer, letting you shoot for longer periods of time with less arm fatigue. Four counterweights are included, which fit onto two posts at the base of the stabilizer. 
</p><p>The camera platform features a quick release plate for easy camera attachment, and allows for front-to-back and side-to-side adjustments for quick balancing. Once balanced, the stabilizer isolates the camera from your body movements, letting you walk or even climb stairs, all while capturing smooth, elegant-looking footage. The weight plate is outfitted with four rubber feet that can be rotated to reveal metal spikes. When you need to set the unit down, the feet offer a stable base for the stabilizer to stand upright on nearly any terrain.
</p><p>
A durable nylon carry case is included for easy storage and transport of the stabilizer and counterweights.",,
Axler,N,6347,"The Axler Robin Pro 40 Stabilizer L lets you capture smooth, free-floating handheld shots with camcorders and camera rigs weighing up to 15 pounds. The system employs a height-adjustable gimbal and two-stage center column for balancing heavier loads without increasing the weight of the stabilizer, letting you shoot for longer periods of time with less arm fatigue. Four segmented counterweights are included, which screw into sockets at the bottom of the stabilizer, providing weight compensation along two axes. Each counterweight consists of four separate pieces that screw into each other, letting you to add or remove weight along two axes as needed. This makes it easy to balance your camera rig even when the weight is unevenly distributed.The camera platform features a quick release plate with fine-tuning adjustment knobs to help achieve optimal balance. Once balanced, the stabilizer isolates the camera from your body movements, letting you walk or even climb stairs, all while capturing smooth, elegant-looking footage. A durable nylon carry case is included for easy storage and transport of the stabilizer and counterweights.",,"The <b>Axler Robin Pro 40 Stabilizer L</b> lets you capture smooth, free-floating handheld shots with camcorders and camera rigs weighing up to 15 pounds. The system employs a height-adjustable gimbal and two-stage center column for balancing heavier loads without increasing the weight of the stabilizer, letting you shoot for longer periods of time with less arm fatigue. Four segmented counterweights are included, which screw into sockets at the bottom of the stabilizer, providing weight compensation along two axes. Each counterweight consists of four separate pieces that screw into each other, letting you to add or remove weight along two axes as needed. This makes it easy to balance your camera rig even when the weight is unevenly distributed.<br /><br />The camera platform features a quick release plate with fine-tuning adjustment knobs to help achieve optimal balance. Once balanced, the stabilizer isolates the camera from your body movements, letting you walk or even climb stairs, all while capturing smooth, elegant-looking footage. A durable nylon carry case is included for easy storage and transport of the stabilizer and counterweights.",,
Axler,N,6284,"The Axler QRA-501L Quick-Release Assembly gives you the freedom to remove your camera from a tripod, stabilizer, or support rig without having to spend time unscrewing it from the device. It includes a quick-release adapter and long Manfrotto 501PL style sliding camera plate for smooth and easy camera positioning. The longer plate length offers increased sliding range for balancing larger or heavier camera rigs. The plate includes 1/4""-20 and 3/8""-16 camera screws for use with a variety of cameras, and features three built-in bubble levels to assist with leveling. 1/4""-20 and 3/8""-16 threaded holes on the underside of the adapter are provided for mounting to tripods, stabilizers, or other support rigs. Additionally, a 3/8""-16 screw and hex key are included which give you the flexibility to mount the adapter to any 3/8""-16 threaded hole.",,"The <b>Axler QRA-501L Quick-Release Assembly</b> gives you the freedom to remove your camera from a tripod, stabilizer, or support rig without having to spend time unscrewing it from the device. It includes a quick-release adapter and long Manfrotto 501PL style sliding camera plate for smooth and easy camera positioning. The longer plate length offers increased sliding range for balancing larger or heavier camera rigs. The plate includes 1/4""-20 and 3/8""-16 camera screws for use with a variety of cameras, and features three built-in bubble levels to assist with leveling. 1/4""-20 and 3/8""-16 threaded holes on the underside of the adapter are provided for mounting to tripods, stabilizers, or other support rigs. Additionally, a 3/8""-16 screw and hex key are included which give you the flexibility to mount the adapter to any 3/8""-16 threaded hole.",,
Axler,N,6285,"The Axler QRA-501S Quick-Release Assembly gives you the freedom to remove your camera from a tripod, stabilizer, or support rig without having to spend time unscrewing it from the device. It includes a quick-release adapter and Manfrotto 501PL style sliding camera plate for smooth and easy camera positioning. The plate includes 1/4""-20 and 3/8""-16 camera screws for use with a variety of cameras, and features three built-in bubble levels to assist with leveling. 1/4""-20 and 3/8""-16 threaded holes on the underside of the adapter are provided for mounting to tripods, stabilizers, or other support rigs. Additionally, a 3/8""-16 screw and hex key are included which give you the flexibility to mount the adapter to any 3/8""-16 threaded hole.",,"The <b>Axler QRA-501S Quick-Release Assembly</b> gives you the freedom to remove your camera from a tripod, stabilizer, or support rig without having to spend time unscrewing it from the device. It includes a quick-release adapter and Manfrotto 501PL style sliding camera plate for smooth and easy camera positioning. The plate includes 1/4""-20 and 3/8""-16 camera screws for use with a variety of cameras, and features three built-in bubble levels to assist with leveling. 1/4""-20 and 3/8""-16 threaded holes on the underside of the adapter are provided for mounting to tripods, stabilizers, or other support rigs. Additionally, a 3/8""-16 screw and hex key are included which give you the flexibility to mount the adapter to any 3/8""-16 threaded hole.",,
Axler,N,6346,"Give your videos a professional touch by capturing smooth, free-floating handheld shots with the Axler Robin 05R Stabilizer. Designed to support loads up to 2 pounds, the stabilizer is ideal for use with small-form camcorders, point-and-shoot cameras, action cameras, and even cell phones. It features a quick-release plate with 1/4""-20 mounting screw for easy camera attachment and removal, and includes two counterweight discs that attach directly beneath the center column. For quick and simple balancing, the gimbal is height adjustable, with front-to-back and side-to-side micro-adjustment knobs provided on the camera platform for fine-tuning your balance. With its quick balance adjustments and compact 10"" long design, the Robin 05R is an easy-to-use and travel-friendly accessory for capturing smooth, professional-looking video with small-form cameras.",,"Give your videos a professional touch by capturing smooth, free-floating handheld shots with the <b>Axler Robin 05R Stabilizer</b>. Designed to support loads up to 2 pounds, the stabilizer is ideal for use with small-form camcorders, point-and-shoot cameras, action cameras, and even cell phones. It features a quick-release plate with 1/4""-20 mounting screw for easy camera attachment and removal, and includes two counterweight discs that attach directly beneath the center column. For quick and simple balancing, the gimbal is height adjustable, with front-to-back and side-to-side micro-adjustment knobs provided on the camera platform for fine-tuning your balance. With its quick balance adjustments and compact 10"" long design, the Robin 05R is an easy-to-use and travel-friendly accessory for capturing smooth, professional-looking video with small-form cameras.",,
Axler,N,6291,"The Standard Axler QRP-501S Quick-Release Plate is a 3.75"" sliding camera plate compatible with Manfrotto 501PL systems. The plate includes 1/4""-20 and 3/8""-16 camera screws, and features a retractable locking pin to prevent your camera or camcorder from twisting when mounted on the plate. This plate serves as a replacement or an additional plate for easy swapping between cameras on quick-release mounts.",,"The Standard <b>Axler QRP-501S Quick-Release Plate</b> is a 3.75"" sliding camera plate compatible with Manfrotto 501PL systems. The plate includes 1/4""-20 and 3/8""-16 camera screws, and features a retractable locking pin to prevent your camera or camcorder from twisting when mounted on the plate. This plate serves as a replacement or an additional plate for easy swapping between cameras on quick-release mounts.",,
Axler,N,6290,"The Long Axler QRP-501L Quick-Release Plate is a 5.5"" sliding camera plate compatible with Manfrotto 501PL systems. The long plate length offers more surface areas for larger cameras and increased sliding range for balancing front or rear heavy camera rigs. The plate includes 1/4""-20 and 3/8""-16 camera screws, and features a retractable locking pin to prevent your camera or camcorder from twisting when mounted on the plate. This plate serves as a replacement or an additional plate for easy swapping between cameras on quick-release mounts.",,"The Long <b>Axler QRP-501L Quick-Release Plate</b> is a 5.5"" sliding camera plate compatible with Manfrotto 501PL systems. The long plate length offers more surface areas for larger cameras and increased sliding range for balancing front or rear heavy camera rigs. The plate includes 1/4""-20 and 3/8""-16 camera screws, and features a retractable locking pin to prevent your camera or camcorder from twisting when mounted on the plate. This plate serves as a replacement or an additional plate for easy swapping between cameras on quick-release mounts.",,
Axler,N,6348,"The Axler RBNP-40PLATE Quick-Release Plate is designed specifically for use with the Robin Pro 40 Stabilizer. It includes 1/4""-20 and 3/8""-16 camera screws and features a register pin to keep your camera properly aligned on the plate. Incorporated into the bottom of the plate are teeth that enable precise forward/backward balancing by turning the stabilizer's adjustment knob. The RBNP-40PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,"The <b>Axler RBNP-40PLATE Quick-Release Plate</b> is designed specifically for use with the Robin Pro 40 Stabilizer. It includes 1/4""-20 and 3/8""-16 camera screws and features a register pin to keep your camera properly aligned on the plate. Incorporated into the bottom of the plate are teeth that enable precise forward/backward balancing by turning the stabilizer's adjustment knob. The RBNP-40PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,
Axler,N,6344,"The Axler RBN-20PLATE Quick-Release Plate is designed specifically for use with the Robin Pro 20 Stabilizer. It includes 1/4""-20 and 3/8""-16 camera screws and features a register pin to keep your camera properly aligned on the plate. The RBN-20PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,"The <b>Axler RBN-20PLATE Quick-Release Plate</b> is designed specifically for use with the Robin Pro 20 Stabilizer. It includes 1/4""-20 and 3/8""-16 camera screws and features a register pin to keep your camera properly aligned on the plate. The RBN-20PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,
Axler,N,6349,"The Axler RBNP-5PLATE Quick-Release Plate is designed specifically for use with the Robin Pro 05R Stabilizer. It includes a 1/4""-20 camera screw and features teeth on the bottom of the plate that enable precise forward/backward balancing by turning the stabilizer's adjustment knob. The RBNP-5PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,"The <b>Axler RBNP-5PLATE Quick-Release Plate</b> is designed specifically for use with the Robin Pro 05R Stabilizer. It includes a 1/4""-20 camera screw and features teeth on the bottom of the plate that enable precise forward/backward balancing by turning the stabilizer's adjustment knob. The RBNP-5PLATE serves as a replacement plate or as an additional plate to keep multiple cameras ready for use on the stabilizer.",,
Axler,N,3219,"The Axler 30"" Pro Camera Slider is a portable solution for adding smooth, linear camera motion to your video productions with rigs weighing up to 50 pounds. It offers 30"" of slide length and features a belt-drive system driven by an included flywheel. The weighted flywheel attaches to the end of the slider, providing a handle for smooth and precise hand-cranked slides, even at slow speeds. It also serves as an inertial dampener that helps your camera stop smoothly for usable tracking shots and push-ins from start to finish of each take.


The carriage features a 1/4""-20 screw for attaching your camera, with a 3/8""-16 bushing included for compatibility with most tripod heads. Additionally, you can remove the 1/4""-20 screw to attach an optional articulating arm to open up an even greater variety of camera angles. The mounting plate at the bottom of the camera provides several 1/4""-20 and 3/8""-16 threaded holes for tripod mounting. There are also 1/4""-20 and 3/8""-16 threads at each end of the slider, letting you support it with two or even three tripods or light stands for increased stability. Extra 1/4""-20 & 3/8""-16 threaded holes on the camera carriage and at the ends of the slider provide attachment points for LED lights, lighting flags, or other accessories.

For ground-level or tabletop use, the slider is equipped with four angle-adjustable legs with height-adjustable rubber ball feet that let you get the level or canted shot you're looking for. A built-in bubble level is available to aid in horizontal alignment. To help keep the overall weight of the slider down, it uses durable and lightweight carbon-fiber rails. For convenient storage and transport, a carry case is included.",,"The <b>Axler 30"" Pro Camera Slider</b> is a portable solution for adding smooth, linear camera motion to your video productions with rigs weighing up to 50 pounds. It offers 30"" of slide length and features a belt-drive system driven by an included flywheel. The weighted flywheel attaches to the end of the slider, providing a handle for smooth and precise hand-cranked slides, even at slow speeds. It also serves as an inertial dampener that helps your camera stop smoothly for usable tracking shots and push-ins from start to finish of each take.
<br />
<br />
The carriage features a 1/4""-20 screw for attaching your camera, with a 3/8""-16 bushing included for compatibility with most tripod heads. Additionally, you can remove the 1/4""-20 screw to attach an optional articulating arm to open up an even greater variety of camera angles. The mounting plate at the bottom of the camera provides several 1/4""-20 and 3/8""-16 threaded holes for tripod mounting. There are also 1/4""-20 and 3/8""-16 threads at each end of the slider, letting you support it with two or even three tripods or light stands for increased stability. Extra 1/4""-20 & 3/8""-16 threaded holes on the camera carriage and at the ends of the slider provide attachment points for LED lights, lighting flags, or other accessories.<br />
<br />
For ground-level or tabletop use, the slider is equipped with four angle-adjustable legs with height-adjustable rubber ball feet that let you get the level or canted shot you're looking for. A built-in bubble level is available to aid in horizontal alignment. To help keep the overall weight of the slider down, it uses durable and lightweight carbon-fiber rails. For convenient storage and transport, a carry case is included.",,
Axler,N,3220,"The Axler 60"" Adjustable Pro Slider is a portable and extendable solution for adding smooth, linear camera motion to your video productions. It supports loads up to 17.6 pounds and comes with three sets of 20"" aluminum rods that can be threaded together, letting you adjust the slider from a travel-friendly 20"" length all the way up to 60"" for longer tracking shots. Featuring a belt-drive system and a weighted flywheel, the slider can be easily and smoothly operated by a single user using the flywheel's handle or sliding the camera carriage. In addition, the flywheel serves as an inertial dampener that helps your camera stop smoothly for usable tracking shots and push-ins from start to finish of each take.


The carriage features a 1/4""-20 screw for attaching your camera, with a 3/8""-16 bushing included for compatibility with most tripod heads. The mounting plate at the bottom of the slider provides several 1/4""-20 and 3/8""-16 threaded holes for tripod mounting. There are also 1/4""-20 and 3/8""-16 threads at each end of the slider, letting you support it with two or even three tripods or light stands for increased stability when using the included extension rods. Extra 1/4""-20 & 3/8""-16 threaded holes on the camera carriage and at the ends of the slider provide attachment points for LED lights, lighting flags, or other accessories.

For ground-level or tabletop use, the slider is equipped with four angle-adjustable legs with height-adjustable rubber ball feet that let you get the level or canted shot you're looking for. A built-in bubble level is available to aid in horizontal alignment. For convenient storage and transport, a carry case with custom-cut foam interior is included.",,"The <b>Axler 60"" Adjustable Pro Slider</b> is a portable and extendable solution for adding smooth, linear camera motion to your video productions. It supports loads up to 17.6 pounds and comes with three sets of 20"" aluminum rods that can be threaded together, letting you adjust the slider from a travel-friendly 20"" length all the way up to 60"" for longer tracking shots. Featuring a belt-drive system and a weighted flywheel, the slider can be easily and smoothly operated by a single user using the flywheel's handle or sliding the camera carriage. In addition, the flywheel serves as an inertial dampener that helps your camera stop smoothly for usable tracking shots and push-ins from start to finish of each take.
<br />
<br />
The carriage features a 1/4""-20 screw for attaching your camera, with a 3/8""-16 bushing included for compatibility with most tripod heads. The mounting plate at the bottom of the slider provides several 1/4""-20 and 3/8""-16 threaded holes for tripod mounting. There are also 1/4""-20 and 3/8""-16 threads at each end of the slider, letting you support it with two or even three tripods or light stands for increased stability when using the included extension rods. Extra 1/4""-20 & 3/8""-16 threaded holes on the camera carriage and at the ends of the slider provide attachment points for LED lights, lighting flags, or other accessories.<br />
<br />
For ground-level or tabletop use, the slider is equipped with four angle-adjustable legs with height-adjustable rubber ball feet that let you get the level or canted shot you're looking for. A built-in bubble level is available to aid in horizontal alignment. For convenient storage and transport, a carry case with custom-cut foam interior is included.",,
Axler,N,6343,"This Short Replacement Belt, from Axler, is designed for use with the CS-HCS-60A Adjustable Pro Slider in its base configuration with no extension rods, providing 20"" of carriage travel. The belt serves as a spare or replacement to the 40.25"" long belt that is included with the slider. It is made from rubber and reinforced with cloth to prevent stretching. Teeth on the inner surface of the belt lock into the slider's drive wheel to offer consistent sliding action.",,"This <b>Short Replacement Belt</b>, from <b>Axler</b>, is designed for use with the CS-HCS-60A Adjustable Pro Slider in its base configuration with no extension rods, providing 20"" of carriage travel. The belt serves as a spare or replacement to the 40.25"" long belt that is included with the slider. It is made from rubber and reinforced with cloth to prevent stretching. Teeth on the inner surface of the belt lock into the slider's drive wheel to offer consistent sliding action.",,
